Date,Time,AMPM,ROWS,COLUMN,Serial
5/12/2023,2:42:16,PM,0,0,SBBHJ97
5/12/2023,2:42:16,PM,0,1,SBBHJ96
5/12/2023,2:42:16,PM,0,2,SBBHJ95
5/12/2023,2:42:16,PM,0,3,SBBHJ94
5/12/2023,2:42:16,PM,0,4,SBBHJ93
5/12/2023,2:42:17,PM,0,5,SBBHJ92
5/12/2023,2:42:17,PM,0,6,SBBHJ91
5/12/2023,2:42:17,PM,0,7,SBBHJ90
5/12/2023,2:42:17,PM,0,8,SBBHJ9Z
5/12/2023,2:42:17,PM,0,9,SBBHJ9W
5/12/2023,2:42:17,PM,1,0,SBBHJ9V
5/12/2023,2:42:18,PM,1,1,SBBHJ9T
5/12/2023,2:42:18,PM,1,2,SBBHJ9S
5/12/2023,2:42:18,PM,1,3,SBBHJ9R
5/12/2023,2:42:18,PM,1,4,SBBHJ9P
5/12/2023,2:42:18,PM,1,5,SBBHJ9N
5/12/2023,2:42:19,PM,1,6,SBBHJ9M
5/12/2023,2:42:19,PM,1,7,SBBHJ9L
5/12/2023,2:42:19,PM,1,8,SBBHJ9K
5/12/2023,2:42:19,PM,1,9,SBBHJ9J
5/12/2023,2:42:19,PM,2,0,SBBHJ9H
5/12/2023,2:42:19,PM,2,1,SBBHJ9G
5/12/2023,2:42:20,PM,2,2,SBBHJ9F
5/12/2023,2:42:20,PM,2,3,SBBHJ9D
5/12/2023,2:42:20,PM,2,4,SBBHJ9C
5/12/2023,2:42:20,PM,2,5,SBBHJ9B
5/12/2023,2:42:20,PM,2,6,SBBHJ89
5/12/2023,2:42:20,PM,2,7,SBBHJ88
5/12/2023,2:42:21,PM,2,8,SBBHJ87
5/12/2023,2:42:55,PM,3,0,SBBHJ86
5/12/2023,2:42:56,PM,3,5,SBBHJ85
5/12/2023,2:42:57,PM,4,3,SBBHJ84
5/12/2023,2:42:57,PM,4,4,SBBHJ83
5/12/2023,2:42:58,PM,4,7,SBBHJ82
5/12/2023,2:42:58,PM,4,8,SBBHJ81
